INSERT INTO rewards (item_name, tokens, available) VALUE (sardine, 2589, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (wombat, 673, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (marten, 4099, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (baboon, 2584, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (zebra, 4293, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (herring, 4555, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (elk, 1882, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (hyena, 760, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (cricket, 3789, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (lion, 211, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (mink, 541, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (lion, 1049, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (hippopotamus, 2130, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (jackal, 1997, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (fish, 1211, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (mink, 4044, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (skunk, 1914, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (oyster, 1863, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (kangaroo, 2792, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (yak, 1348, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (mole, 473, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (crab, 296, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (skunk, 1990, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (llama, 2597, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (pig, 3321, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (squirrel, 915, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (grasshopper, 2816, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (eel, 185, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (eel, 843, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (antelope, 2652, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (shark, 1172, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (deer, 77, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (elk, 1412, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (toad, 4685, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (impala, 4739, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (bee, 1684, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (mammoth, 709, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (weasel, 2315, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (lizard, 3032, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (weasel, 3786, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (caribou, 2367, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (swan, 1122, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (hamster, 808, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (beetle, 138, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (cattle, 4692, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (sea lion, 1413, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (sardine, 1446, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (prairie dog, 2933, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (coyote, 2071, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (bee, 4604, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (swan, 2120, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (raccoon, 4392, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (sardine, 2428, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (baboon, 391, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (ant, 1296, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (badger, 3147, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (frog, 1164, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (rhinoceros, 4691, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (bat, 2557, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (prairie dog, 4963, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (dinosaur, 772, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (louse, 3554, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (hedgehog, 4216, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (rat, 4661, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (marten, 2387, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (water buffalo, 3670, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (frog, 1823, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (spider, 2922, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (badger, 4323, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (mosquito, 3661, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (horse, 669, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (salmon, 1975, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (panda, 851, 1);
INSERT INTO rewards (item_name, tokens, available) VALUE (gnu, 2447, 0);
INSERT INTO rewards (item_name, tokens, available) VALUE (wallaby, 1082, 1);
